Rank,Name,Episodes,Tags,Rating
10864,Sakura Wars: New York NY.,ova,"Welcome to the famous Broadway Little Lip Theatre, known for its gorgeous actresses who will put on an amazing show for you before jumping into their steam-powered mecha suits to protect the city in danger. Fighting with beauty and grace, the New York Fighting Troupe won’t let villains touch their precious city. Soon after their leader Lachette Altair leaves for another mission, an ancient Egyptian force is unleashed upon the city. Can the girls and Shinjiro Taiga fight off mummies and magic, while still getting in enough practice time to perform their highly anticipated show, Cleopatra? RyuichiKimura Sci Fi Acting America Power Suits Supernatural Based on a Video Game 2007",3.17
10865,Mormorando,movie,No synopsis yet - check back soon! TomomiKomazaki Shorts 2014,3.17
10866,Rebirth Special,movie,No synopsis yet - check back soon! ShinobuYoshioka Comedy Chibi Shorts VTubers Based on a Card Game 2020,3.17
10867,Girl's High,miniseries,"A Japanese high school can be a strange place – or so it’s been told. However, as critical thinking is not the strong point of our freshman heroine Eriko, even the most outrageous stories are likely to come true. Going through the motions of high school life with a flair and panache that can only be gawked at, Eriko and her old and new friends set a new (low) standard for the typical coming of age drama. Cry with them as they fight adversity and learn the importance of trust and friendship in this cruel, cruel world; laugh with them during the incomparable happiness of the seemingly never-ending springtime of youth; and finally, laugh AT them, when they constantly manage to show their panties in public! TowaOshima Ecchi Seinen Slice of Life Panty Shots School Life Based on a Manga 2006",3.17
10869,Marvel Future Avengers,longseries,"Makoto is a young boy who gains superpowers due to an evil gene manipulation experiment. Makoto and other youths join the Avengers as apprentices named Future Avengers. The anime will show Makoto and others as they train, fight villains and grow, under Avengers members Iron Man, Captain America, Hulk, Thor, and Wasp. YuuzouSatou Action Sci Fi Shounen Marvel Comics Superheroes Superpowers Based on a Comic Book 2017",3.17
10870,Kaze no Matasaburou (2016),movie,"Because of her parents work, a little girl spends a few days in the countryside. Her new classmates think she might be the legendary wind spirit Matasaburou. YukiYamada Fantasy Slice of Life Anime Tamago Countryside Shorts 2016",3.17
10872,Yoshiharu Abe: One and Three Four,movie,No synopsis yet - check back soon! MasanobuHiraoka Abstract 2013,3.17
10873,Harumaki Gohan: Pokapoka no Hoshi,movie,No synopsis yet - check back soon! HarumakiGohan Vocaloid 2019,3.17
10874,009 Re:Cyborg,movie,"Many years ago, nine humans were captured and transformed into cyborgs for the purposes of becoming agents of evil. Instead, they rebelled, becoming champions of justice anytime the earth was in need. Now, in a post-9/11 world, the meaning of justice has become clouded. The cyborgs, untouched by time, and some without memory of their status as heroes, have since taken up lives as ordinary civilians. But when a mysterious force known only as His Voice compels people across the world to commit unspeakable acts of violence, even cyborg 009, Joe Shimamura, falls victim to the irresistible faceless power. In an era when cyber-terrorism is rapidly advancing, how can the cyborgs combat an enemy that has no face, no weapons, and seemingly no motive? ShotaroIshinomori Action Sci Fi Shounen Cyborgs Superheroes Based on a Manga CG Animation 2012",3.17
10875,Pinocchio-P: SAYONARA HUMAN,movie,No synopsis yet - check back soon! Pinocchio-P Vocaloid 2016,3.17
10876,AWOL: Absent Without Leave,miniseries,"Cyress was a peaceful planet until Solomon, a mysterious terrorist group lead by Duran Gash, seizes seven PDP missiles that are capable of destroying entire planets. Jim Hyatt is chosen to be the man to lead a team to do what seems to be impossible: Find a way to both rescue the hostages and reclaim or destroy the deadly PDP missiles. The problem though is that the team members dont really like each other... ToshifumiKawase Sci Fi Military Original Work 1998",3.17
10877,Mitchie M: Freely Tomorrow,movie,No synopsis yet - check back soon! MitchieM Vocaloid 2012,3.17
10878,APOGEE: Just a Seeker's Song,movie,No synopsis yet - check back soon! SouOotsuki Abstract 2007,3.17
10881,Spirit Warrior 2,ova,No synopsis yet - check back soon! MakotoOgino Action Horror Demons Based on a Manga 1994,3.17
10884,Yume no Mahou,movie,No synopsis yet - check back soon! KoujiNanke Fantasy Dream World Family Friendly Minna no Uta 1996,3.17
10885,Pe'z: Papa no March,movie,No synopsis yet - check back soon! MitsuyukiIshibashi Music 2004,3.17
10887,Doubutsu Mura Monogatari,longseries,No synopsis yet - check back soon! RyouichiYokoyama Slice of Life Animal Protagonists Non-Human Protagonists Short Episodes 1970,3.17
10888,Majestic Prince: Wings to the Future,movie,"Team Fawn from Gurantseere Academy dreams of one day fighting beside the heroes of Team Rabbit. One day, they finally get their chance as the GDF launches another attack. RandoAyamine Action Drama Mecha Sci Fi Seinen Amnesia Outer Space Based on a Manga 2016",3.17
10889,Deep Awakening,movie,"“He” has kept moving forward through his life. Nothing else bothered him. But, one day by chance he realized that he has definitely grown old. And eventually, he makes a full stop. ShizukaMiyazaki Abstract Shorts Steampunk 2012",3.17
10891,To Heart 2: Dungeon Travelers,ova,The game takes the characters from the ToHeart2 romance visual novel franchise by AQUAPLUS and puts them in a fantasy role-playing game. JunichiSakata Fantasy Harem RPG Based on a Video Game 2012,3.17
10896,Hamburger no Tsukurikata,movie,No synopsis yet - check back soon! HiroshiNishimura Family Friendly Minna no Uta 1996,3.17
10899,Mikito-P: Endroll ni Boku no Namae wo Irenaide,movie,No synopsis yet - check back soon! Mikito-P Vocaloid 2014,3.17
10901,Mobile Suit Gundam: Twilight Axis - Akaki Zanei,movie,No synopsis yet - check back soon! Se-JunKim Action Mecha Sci Fi Military Real Robot Recap 2017,3.17
10902,LITE: Echolocation,movie,No synopsis yet - check back soon! Lite Abstract 2014,3.17
10904,H’or cafe,movie,No synopsis yet - check back soon! MasanobuHiraoka Cafe Commercials Food and Beverage Promotional Shorts 2014,3.17
10906,Colorful Ninja Iromaki,movie,"Third-grader Himeno moves to a huge mansion in the country. But she soon finds out its a ninja house! The ninjas Akamaki—who tends to the fires, Aomaki—who sees to the water, and Kiiromaki—who sees to the carpentry, mistake Himeno for a princess, and begin solving problems for her with their own unique skills. But that is not the full extent of their powers! When Aomaki and Kiiromaki combine, they from Midorimaki. Similarly, when Akamaki and Aomaki combine, they form Murasakimaki; and when Akamaki and Kiiromaki combine, they form Tōmaki. Life with these colorful ninjas has only begun, when they discover a large tornado heading for the mansion. What will happen to the Himeno family? Can the colorful ninja protect Himeno? KentarouKobayashi Anime Tamago Mansion Ninja Shorts 2016",3.17
10909,Himawari Too!!,miniseries,"Now that Hayato has finally accepted the role of Himawari’s master, life continues as normal at the Village of Mist’s school for girls… that is, until the boy’s academy is unexpectedly demolished and all the male students disappear! Shortly after this sudden act, Himawari and the others are targeted by a series of bizarre ninjas. However, these incidents are not unrelated. Who is behind these strange events and just what does the mysterious master-of-disguise Takechi-sensei have to do with it all? Himawari, along with Shikimi, Yusura, Himeji, Azami and the bumbling Hayato, must stay on guard if she hopes to find out just what on earth is going on and why the six of them are being specially targeted. ShigenoriKageyama Action Comedy Martial Arts Ninja Original Work 2007",3.17
10910,*Luna: Main Character,movie,No synopsis yet - check back soon! *Luna Vocaloid 2016,3.17
10912,40MeterP: Dan Dan Hayaku Naru,movie,No synopsis yet - check back soon! 40Meterp Vocaloid 2015,3.17
10914,Dangerous Jii-san Ja OVA,movie,No synopsis yet - check back soon! KazutoshiSoyama Comedy Based on a Manga 2012,3.17
10915,Bite Me! Chameleon,ova,"Tenth grader Eisaku Yazawa dreams of being a badass gang leader, but unfortunately for him hes also short and cowardly, bluffing his way out of any difficult situation. Things take a turn for the worse when Eisaku tells off Naoiki Aizawa, the leader of a major gang at his school. Aizawa is NOT one to just talk, he acts; and now he has just one thing in mind... making sure Yazawa ends up in a box! Desperately, Yazawa tries to solve the situation while staying alive and still looking cool, but everything he does just makes things worse! MitsuoHashimoto Ecchi Crude Delinquents School Life Based on a Manga 1992",3.17
10916,Narihero www,miniseries,No synopsis yet - check back soon! SoutaSugahara Comedy CG Animation 2014,3.17
10917,30-sai no Hoken Taiiku,miniseries,"Hayao Imagawa, a 30-year-old salaryman, is visited by Daigorou, a god sent from heaven to help him get rid of his virginity. Mankyuu Comedy Ecchi Gods Non-Human Protagonists Salaryman Supernatural Based on a Light Novel Sexual Content 2011",3.17
